barcode,sample_type,cancer_status
TCGA-ER-A19P-06A-11R-A18S-07,Metastatic,Tumor
TCGA-ER-A19Q-06A-11R-A18U-07,Metastatic,Tumor
TCGA-ER-A19S-06A-11R-A18U-07,Metastatic,Tumor
TCGA-ER-A19T-06A-11R-A18U-07,Metastatic,Tumor
TCGA-ER-A19W-06A-41R-A239-07,Metastatic,Tumor
TCGA-ER-A1A1-06A-11R-A18U-07,Metastatic,Tumor
TCGA-ER-A2NC-06A-11R-A18T-07,Metastatic,Tumor
TCGA-ER-A2ND-06A-11R-A18T-07,Metastatic,Tumor
TCGA-ER-A2NE-06A-21R-A18T-07,Metastatic,Tumor
TCGA-ER-A2NF-06A-11R-A18T-07,Metastatic,Tumor
TCGA-ER-A2NG-06A-11R-A18T-07,Metastatic,Tumor
TCGA-ER-A2NH-06A-11R-A18S-07,Metastatic,Tumor
TCGA-ER-A3ES-06A-11R-A20F-07,Metastatic,Tumor
TCGA-ER-A3ET-06A-11R-A20F-07,Metastatic,Tumor
TCGA-ER-A3EV-06A-11R-A20F-07,Metastatic,Tumor
TCGA-ER-A3PL-06A-11R-A239-07,Metastatic,Tumor
TCGA-ER-A42K-06A-11R-A24X-07,Metastatic,Tumor
TCGA-ER-A42L-06A-11R-A24X-07,Metastatic,Tumor
TCGA-FR-A3YN-06A-11R-A239-07,Metastatic,Tumor
TCGA-FR-A44A-06A-11R-A24X-07,Metastatic,Tumor
TCGA-FR-A69P-06A-21R-A311-07,Metastatic,Tumor
TCGA-FR-A729-06A-11R-A352-07,Metastatic,Tumor
TCGA-FR-A7U8-06A-21R-A352-07,Metastatic,Tumor
TCGA-FR-A7U9-06A-11R-A352-07,Metastatic,Tumor
TCGA-FR-A7UA-06A-32R-A352-07,Metastatic,Tumor
TCGA-FR-A8YC-06A-11R-A37K-07,Metastatic,Tumor
TCGA-FR-A8YD-06A-11R-A37K-07,Metastatic,Tumor
TCGA-FR-A8YE-06A-11R-A37K-07,Metastatic,Tumor
TCGA-FS-A1YW-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1YX-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1YY-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1Z0-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1Z3-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1Z4-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1Z7-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1ZA-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1ZB-06A-12R-A18S-07,Metastatic,Tumor
TCGA-FS-A1ZC-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1ZD-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1ZE-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1ZF-06A-12R-A18S-07,Metastatic,Tumor
TCGA-FS-A1ZG-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1ZH-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1ZJ-06A-12R-A18S-07,Metastatic,Tumor
TCGA-FS-A1ZK-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1ZM-06A-12R-A18S-07,Metastatic,Tumor
TCGA-FS-A1ZP-06A-11R-A18T-07,Metastatic,Tumor
TCGA-FS-A1ZQ-06A-11R-A18U-07,Metastatic,Tumor
TCGA-FS-A1ZR-06A-21R-A18U-07,Metastatic,Tumor
TCGA-FS-A1ZS-06A-12R-A18T-07,Metastatic,Tumor
TCGA-FS-A1ZT-06A-11R-A18U-07,Metastatic,Tumor
TCGA-FS-A1ZU-06A-12R-A18T-07,Metastatic,Tumor
TCGA-FS-A1ZW-06A-12R-A18T-07,Metastatic,Tumor
TCGA-FS-A1ZY-06A-11R-A18S-07,Metastatic,Tumor
TCGA-FS-A1ZZ-06A-11R-A18S-07,Metastatic,Tumor
TCGA-FS-A4F0-06A-11R-A24X-07,Metastatic,Tumor
TCGA-BF-A1PU-01A-11R-A18S-07,Primary Tumor,Tumor
TCGA-BF-A1PV-01A-11R-A18U-07,Primary Tumor,Tumor
TCGA-BF-A1PX-01A-12R-A18T-07,Primary Tumor,Tumor
TCGA-BF-A1PZ-01A-11R-A18S-07,Primary Tumor,Tumor
TCGA-BF-A1Q0-01A-21R-A18S-07,Primary Tumor,Tumor
TCGA-BF-A3DJ-01A-11R-A20F-07,Primary Tumor,Tumor
TCGA-BF-A3DL-01A-11R-A20F-07,Primary Tumor,Tumor
TCGA-BF-A3DM-01A-11R-A20F-07,Primary Tumor,Tumor
TCGA-BF-A3DN-01A-11R-A20F-07,Primary Tumor,Tumor
TCGA-BF-A5EO-01A-12R-A27Q-07,Primary Tumor,Tumor
TCGA-BF-A5EP-01A-12R-A27Q-07,Primary Tumor,Tumor
TCGA-BF-A5EQ-01A-21R-A27Q-07,Primary Tumor,Tumor
TCGA-BF-A5ER-01A-12R-A27Q-07,Primary Tumor,Tumor
TCGA-BF-A5ES-01A-11R-A27Q-07,Primary Tumor,Tumor
TCGA-BF-A9VF-01A-11R-A37K-07,Primary Tumor,Tumor
TCGA-BF-AAOU-01A-12R-A39D-07,Primary Tumor,Tumor
TCGA-BF-AAOX-01A-11R-A39D-07,Primary Tumor,Tumor
TCGA-BF-AAP1-01A-11R-A39D-07,Primary Tumor,Tumor
TCGA-BF-AAP2-01A-11R-A40A-07,Primary Tumor,Tumor
TCGA-BF-AAP4-01A-11R-A40A-07,Primary Tumor,Tumor
TCGA-BF-AAP6-01A-11R-A40A-07,Primary Tumor,Tumor
TCGA-BF-AAP7-01A-11R-A40A-07,Primary Tumor,Tumor
TCGA-BF-AAP8-01A-11R-A40A-07,Primary Tumor,Tumor
TCGA-D3-A5GT-01A-12R-A311-07,Primary Tumor,Tumor
TCGA-D9-A3Z4-01A-11R-A239-07,Primary Tumor,Tumor
TCGA-D9-A4Z2-01A-11R-A24X-07,Primary Tumor,Tumor
TCGA-D9-A4Z3-01A-11R-A266-07,Primary Tumor,Tumor
TCGA-D9-A4Z5-01A-11R-A266-07,Primary Tumor,Tumor
TCGA-DA-A960-01A-11R-A37K-07,Primary Tumor,Tumor
TCGA-EB-A1NK-01A-11R-A18T-07,Primary Tumor,Tumor
TCGA-EB-A24C-01A-11R-A18T-07,Primary Tumor,Tumor
TCGA-EB-A24D-01A-11R-A18T-07,Primary Tumor,Tumor
TCGA-EB-A299-01A-21R-A18U-07,Primary Tumor,Tumor
TCGA-EB-A3HV-01A-11R-A21D-07,Primary Tumor,Tumor
TCGA-EB-A3XB-01A-11R-A239-07,Primary Tumor,Tumor
TCGA-EB-A3XC-01A-11R-A239-07,Primary Tumor,Tumor
TCGA-EB-A3XD-01A-22R-A239-07,Primary Tumor,Tumor
TCGA-EB-A3XE-01A-12R-A239-07,Primary Tumor,Tumor
TCGA-EB-A3XF-01A-31R-A239-07,Primary Tumor,Tumor
TCGA-EB-A3Y6-01A-21R-A239-07,Primary Tumor,Tumor
TCGA-EB-A3Y7-01A-11R-A239-07,Primary Tumor,Tumor
TCGA-EB-A41B-01A-11R-A24X-07,Primary Tumor,Tumor
TCGA-EB-A42Y-01A-12R-A24X-07,Primary Tumor,Tumor
TCGA-EB-A42Z-01A-12R-A24X-07,Primary Tumor,Tumor
TCGA-EB-A431-01A-11R-A266-07,Primary Tumor,Tumor
TCGA-EB-A44N-01A-11R-A266-07,Primary Tumor,Tumor
TCGA-EB-A44O-01A-11R-A266-07,Primary Tumor,Tumor
TCGA-EB-A44P-01A-11R-A266-07,Primary Tumor,Tumor
TCGA-EB-A4IQ-01A-12R-A266-07,Primary Tumor,Tumor
TCGA-EB-A4IS-01A-21R-A266-07,Primary Tumor,Tumor
TCGA-EB-A4OY-01A-11R-A266-07,Primary Tumor,Tumor
TCGA-EB-A4OZ-01A-12R-A266-07,Primary Tumor,Tumor
TCGA-EB-A4P0-01A-41R-A266-07,Primary Tumor,Tumor
TCGA-EB-A4XL-01A-11R-A27Q-07,Primary Tumor,Tumor
TCGA-EB-A51B-01A-11R-A27Q-07,Primary Tumor,Tumor
TCGA-EB-A550-01A-61R-A27Q-07,Primary Tumor,Tumor
TCGA-EB-A551-01A-21R-A27Q-07,Primary Tumor,Tumor
TCGA-EB-A553-01A-12R-A27Q-07,Primary Tumor,Tumor
TCGA-EB-A57M-01A-51R-A311-07,Primary Tumor,Tumor
TCGA-EB-A5FP-01A-11R-A27Q-07,Primary Tumor,Tumor
TCGA-EB-A5SE-01A-11R-A311-07,Primary Tumor,Tumor
TCGA-EB-A5SF-01A-11R-A311-07,Primary Tumor,Tumor
TCGA-EB-A5UM-01A-11R-A311-07,Primary Tumor,Tumor
TCGA-EB-A5VU-01A-21R-A32P-07,Primary Tumor,Tumor
TCGA-EB-A6QY-01A-12R-A32P-07,Primary Tumor,Tumor
TCGA-EB-A6QZ-01A-12R-A32P-07,Primary Tumor,Tumor
TCGA-EB-A6R0-01A-12R-A32P-07,Primary Tumor,Tumor
TCGA-EB-A82B-01A-11R-A352-07,Primary Tumor,Tumor
TCGA-EB-A82C-01A-11R-A352-07,Primary Tumor,Tumor
TCGA-EB-A85I-01A-11R-A352-07,Primary Tumor,Tumor
TCGA-EB-A85J-01A-12R-A352-07,Primary Tumor,Tumor
TCGA-EB-A97M-01A-11R-A38C-07,Primary Tumor,Tumor
TCGA-ER-A194-01A-11R-A18U-07,Primary Tumor,Tumor
TCGA-ER-A196-01A-11R-A18T-07,Primary Tumor,Tumor
TCGA-ER-A19K-01A-21R-A18T-07,Primary Tumor,Tumor
TCGA-ER-A19T-01A-11R-A18T-07,Primary Tumor,Tumor
TCGA-ER-A2NB-01A-12R-A18S-07,Primary Tumor,Tumor
TCGA-ER-A2NF-01A-11R-A18T-07,Primary Tumor,Tumor
TCGA-ER-A42H-01A-11R-A24X-07,Primary Tumor,Tumor
