id	filename	md5	size	state
2673447a-63f1-4221-87d7-c959a6d495c8	2673447a-63f1-4221-87d7-c959a6d495c8/0056507f-a296-4148-bc9f-a831249c7973.rna_seq.augmented_star_gene_counts.tsv	5c6243d043e3977a9f0eeb997fa643c4	4239749	validated
26df792e-6170-4252-b133-1036a584261f	26df792e-6170-4252-b133-1036a584261f/362a2015-1791-4934-be81-df39540b38ff.rna_seq.augmented_star_gene_counts.tsv	3893e130fd49229775f4b19d43bbd581	4233892	validated
293079bc-8ce1-4e83-98a3-34e147aaecef	293079bc-8ce1-4e83-98a3-34e147aaecef/37e6146e-6fec-4160-822c-404a517610a8.rna_seq.augmented_star_gene_counts.tsv	b5b416f259d9e82e1770a8881a225a0b	4238926	validated
293f11c8-1d40-4ff1-84be-ca82847e1c20	293f11c8-1d40-4ff1-84be-ca82847e1c20/6a43f966-cb2b-47ee-b0f4-c269707daa88.rna_seq.augmented_star_gene_counts.tsv	e02bcbfcf210a0c83b5d799307785758	4245412	validated
294e1d82-6193-4b6a-bf9c-7e5c874de5b4	294e1d82-6193-4b6a-bf9c-7e5c874de5b4/c3cd581e-ebce-4eff-8bda-63903805d617.rna_seq.augmented_star_gene_counts.tsv	d040835d45cfd1f86bd7f7e0f0110ca9	4240314	validated
2b378d98-f5d2-4f73-81b4-e201177e13a1	2b378d98-f5d2-4f73-81b4-e201177e13a1/6b375859-116e-4a5e-b5b4-994a56cc9a75.rna_seq.augmented_star_gene_counts.tsv	59ebcfaa70c022376b76aa27a47cf6b2	4242944	validated
2ce33010-4c28-423d-99e0-e006d9a2985c	2ce33010-4c28-423d-99e0-e006d9a2985c/66ba9b68-dcc0-4c51-a8c8-b4016502973d.rna_seq.augmented_star_gene_counts.tsv	e5fa630a59c3304fb2080b92efe1e17b	4244495	validated
2d189755-b948-46d2-92bc-51788453202c	2d189755-b948-46d2-92bc-51788453202c/526fa24c-bb8e-44e5-b5b1-2db9a1bbd935.rna_seq.augmented_star_gene_counts.tsv	6a0715eeb2a6120c488c1de3c84efd86	4232537	validated
2d9f84cc-795e-4aef-890f-c2fc090e96e6	2d9f84cc-795e-4aef-890f-c2fc090e96e6/9604472c-4956-4170-8ba7-419f3e8d7418.rna_seq.augmented_star_gene_counts.tsv	438da2dfc66a8b624d5f9e919794f9ee	4245488	validated
2dc18822-81e0-4200-9cde-94007b64bac6	2dc18822-81e0-4200-9cde-94007b64bac6/ac295603-d08a-43f7-a78b-610be32aa49f.rna_seq.augmented_star_gene_counts.tsv	44cbbfe47c1b237e98ea2d70056cf8cf	4205352	validated
2ddc83c1-35f0-4060-95d5-dbfe479642f3	2ddc83c1-35f0-4060-95d5-dbfe479642f3/a9e8b311-dfde-4c34-80a2-5e64f94c596b.rna_seq.augmented_star_gene_counts.tsv	6a44a02e806f5b723c7aa81b74294fa7	4216775	validated
2eddfd42-de53-4fcd-80ed-0d95aa54d64b	2eddfd42-de53-4fcd-80ed-0d95aa54d64b/70d9a694-2379-4310-aa52-4fe388a58a8a.rna_seq.augmented_star_gene_counts.tsv	b31d4e6e7ba551d1f02c4016b046e2d0	4246567	validated
2f4ee6db-303e-40b6-9bf1-6aa168fd2f51	2f4ee6db-303e-40b6-9bf1-6aa168fd2f51/09c2c2d4-0d2f-488e-b42e-9c4756a27940.rna_seq.augmented_star_gene_counts.tsv	ed62dbf867a077a2bcf8b4082aef41d4	4240467	validated
3031ed04-095b-41cb-a717-1360d04a898b	3031ed04-095b-41cb-a717-1360d04a898b/0e8bcafe-b201-4c66-8a0b-d89a4fd7c7ae.rna_seq.augmented_star_gene_counts.tsv	3c241938903bf299ca0a7aad9cb24010	4233027	validated
